frame;n_blobs;blob_id;blob_classification;blob_classification_color;blob_motion_index;blob_positive_index;blob_contour_std_deviation;blob_centerX;blob_centerY;blob_speedX;blob_speedY;blob_minX;blob_minY;blob_maxX;blob_maxY;blob_area;blob_perimeter;blob_convex_hull_area;blob_convex_hull_perimeter;blob_aspect_ratio;blob_extent_ratio;blob_solidity_ratio;blob_diameter;blob_compactness;blob_major_axis_rotation;blob_minor_axis_rotation;blob_rotation
49;1;0;person;blue;29;50;43,019364678972714;23,487486703578224;163,2554369517886;-4,441798312194578;1,8858123695694076;4;23;59;240;5286,5;504,6934326887131;6903,5;476,87914180755615;0,2534562211981567;0,44294093003770424;0,7657709857318752;82,04255513599291;48,18224931412401;45,66872024536133;239,93309020996094;172,42251586914062
50;1;0;person;blue;30;51;47,33173565523029;23,35435120511992;173,74147431429924;-0,13313549845830508;10,486037362510643;4;20;54;240;4548,5;522,4091608524323;6887,0;493,0465784072876;0,22727272727272727;0,4135;0,6604472193988674;76,10078888702724;60,000292699250835;44,37300109863281;392,6363525390625;175,11611938476562
51;1;0;person;blue;31;52;48,53901048723165;18,67124164892025;155,3177259637744;-4,683109556199668;-18,423748350524846;4;19;46;237;4221,5;536,2670253515244;6335,5;484,2907569408417;0,1926605504587156;0,4610637833114897;0,6663246783994949;73,31426012788705;68,12325535458307;57,67054748535156;1429,6978759765625;176,8520965576172
52;1;0;person;blue;32;53;46,82646413806465;14,27393965533152;124,99060180503626;-4,397301993588732;-30,32712415873813;4;18;33;238;3431,5;493,92387998104095;5526,0;470,01128482818604;0,1318181818181818;0,5378526645768025;0,6209735794426349;66,09933053941401;71,0945065468529;33,03680419921875;218,7972412109375;1,1911053657531738
53;1;0;person;blue;33;54;51,45211247143063;17,716148153467635;107,1842672405732;3,4422084981361163;-17,806334564463057;4;20;43;239;4456,0;495,6812392473221;6253,5;476,91339135169983;0,1780821917808219;0,5217187682941108;0,7125609658591189;75,32300718465696;55,13911376610434;41,56028366088867;235,20999145507812;0,3795887231826782
54;1;0;person;blue;34;55;52,012144086951686;23,855723881294427;116,2874289178704;6,1395757278267915;9,103161677297194;4;24;57;240;7098,0;510,1665208339691;8829,5;491,0914089679718;0,24537037037037038;0,620020964360587;0,8038960303527946;95,06552628860888;36,66805846433314;49,39616394042969;252,23875427246094;2,6172287464141846
55;1;0;person;blue;35;56;49,03589700202752;31,742309919383032;129,29556803578197;7,8865860380886055;13,008139117911568;4;25;70;240;9734,5;518,7523072957993;11117,0;503,7770701646805;0,30697674418604654;0,6860112755461593;0,8756409103175317;111,32991668111694;27,644353210202407;54,52878952026367;271,30072021484375;4,838201522827148
56;1;0;person;blue;36;57;45,975248166559254;42,19665303309512;130,0340793425555;10,454343113712085;0,7385113067735176;4;25;85;240;10902,0;540,2497812509537;12883,5;510,83427929878235;0,3767441860465116;0,6260120585701981;0,8461986261497264;117,81705104399255;26,77213595135785;66,73938751220703;238,76759338378906;8,199694633483887
57;1;0;person;blue;37;58;45,61092803083606;53,36732818386551;129,64476410962604;11,170675150770393;-0,38931523292944803;12;24;98;239;10682,0;532,676186800003;12572,0;496,3011825084686;0,4;0,5777176852352623;0,8496659242761693;116,62223122913147;26,562808461317335;70,61577606201172;221,13661193847656;9,038858413696289
58;1;0;person;blue;38;59;44,000085617651735;65,39434916172654;133,05799803780502;12,027020977861028;3,4132339281789825;23;23;110;236;10828,0;542,1909053325653;13154,0;503,0998191833496;0,4084507042253521;0,5843181695537208;0,8231716588110081;117,41651412979498;27,149148303042743;77,68602752685547;223,4259033203125;8,08051872253418
59;1;0;person;blue;39;60;43,90485010515206;76,43181570129974;143,2432644092751;11,037466539573202;10,185266371470078;26;25;125;240;13407,5;554,776692032814;15183,0;527,0766322612762;0,4604651162790698;0,6299036880432229;0,8830600013172627;130,65588083219484;22,955597838737408;92,55302429199219;223,80406188964844;11,28430461883545
60;1;0;person;blue;40;61;50,85468685495958;91,80474404534498;145,558245144455;15,372928344045235;2,314980735179887;42;29;139;240;13009,0;554,048770070076;14842,0;523,5887959003448;0,4597156398104265;0,635608540577515;0,8764991241072632;128,699546376278;23,596743763253436;85,42623138427734;231,5997772216797;10,980084419250488
61;1;0;person;blue;41;62;53,22316064160398;111,19356005092543;147,11432061259873;19,388816005580452;1,5560754681437459;67;33;155;240;11606,5;546,4924213886261;14114,5;515,0630185604095;0,4251207729468599;0,6371596398770312;0,822310390024443;121,56420022345668;25,731613030216145;85,70015716552734;218,3253936767578;10,764836311340332
62;1;0;person;blue;42;63;57,31016842775264;131,02350533523105;146,18774822962158;19,829945284305623;-0,9265723829771559;87;37;171;240;10686,5;532,1492754220963;13014,0;500,22419035434723;0,41379310344827586;0,6267006802721088;0,8211541416935608;116,64679333274583;26,49912051020091;78,4886703491211;216,76048278808594;10,237527847290039
63;1;0;person;blue;43;64;59,095652479214074;148,42549225367813;146,68252622726075;17,40198691844708;0,49477799763917574;104;37;189;235;10511,0;508,24978160858154;12272,0;483,3573487997055;0,4292929292929293;0,6245395127748069;0,8565026075619296;115,68500704374485;24,57595285940166;72,35628509521484;221,5653839111328;13,077255249023438
64;1;0;person;blue;44;65;51,85790117562596;163,46971564161677;141,0573586865132;15,044223387938644;-5,6251675407475545;122;36;204;230;10232,5;498,149276137352;11869,5;470,8357138633728;0,422680412371134;0,6432298214734725;0,8620834913012343;114,14212036536973;24,251424511719303;71,970947265625;210,37246704101562;9,915234565734863
65;1;0;person;blue;45;66;71,40060469788496;179,7759010740336;138,17130325729718;16,30618543241684;-2,8860554292160145;140;35;218;232;10342,0;489,9066354036331;11540,5;463,8158338069916;0,39593908629441626;0,6730443837042822;0,8961483471253412;114,75122383509056;23,207166061932732;76,33928680419922;195,5799102783203;8,965700149536133
66;1;0;person;blue;46;67;74,49527258393287;191,05483601852515;140,43462412862826;11,278934944491539;2,263320871331075;151;34;228;240;9913,0;501,5046133995056;11369,5;471,513668179512;0,3737864077669903;0,6249527171857269;0,8718941026430362;112,345999514712;25,37141907202538;69,05677795410156;203,98463439941406;7,257728099822998
67;1;0;person;blue;47;68;68,1143607707646;202,1286874018183;137,32002953044736;11,073851383293146;-3,1145945981809007;162;33;238;240;9712,0;500,5340518951416;11145,0;470,05560541152954;0,3671497584541063;0,6173404525807272;0,8714221624046657;111,20118011274836;25,79636914194484;67,35531616210938;202,16192626953125;8,69841194152832
68;1;0;person;blue;48;69;62,61350324362614;213,13087610942392;143,81005570831073;11,002188707605626;6,4900261778633705;177;35;248;240;8979,5;503,86500465869904;10585,5;477,45238614082336;0,3463414634146341;0,6169357609069048;0,8482830286712957;106,92546231814663;28,27328280190554;63,307254791259766;204,5470733642578;8,373703002929688
69;1;0;person;blue;49;70;64,9665209237633;222,00849649322643;144,17620325825845;8,877620383802508;0,36614754994772625;188;39;259;240;8840,5;492,3502868413925;10612,0;470,70608282089233;0,35323383084577115;0,6194730572489664;0,8330663399924614;106,0946473448647;27,420259595362424;64,13488006591797;218,40792846679688;6,506120204925537
70;1;0;person;blue;50;71;60,7665255072484;228,79150010223;149,0951436842068;6,783003609003572;4,918940425948335;193;44;267;240;8983,0;496,1076456308365;10973,0;469,3471361398697;0,37755102040816324;0,6193463872035301;0,8186457668823476;106,94629881560168;27,398730496868712;66,69583129882812;212,8383026123047;6,838429927825928
71;1;0;person;blue;48;72;60,61572925264876;230,65238803923145;148,42984970641385;1,8608879370014506;-0,6652939777929419;194;45;275;240;8822,5;506,29141104221344;11514,5;472,3923987150192;0,4153846153846154;0,5585628363406141;0,7662078249164097;105,98658350671548;29,054235522257354;68,28176879882812;213,05282592773438;8,897884368896484
72;1;0;person;blue;46;73;64,32233361033637;231,80922733835263;148,8689826698469;1,1568392991211738;0,4391329634330532;191;43;278;240;9907,0;512,391916513443;12082,5;480,8158849477768;0,4416243654822335;0,578038391971527;0,8199462031864266;112,31199477211354;26,501006975705977;72,68858337402344;207,60914611816406;10,524526596069336
73;1;0;person;blue;47;74;61,13693343205193;234,6340314280179;149,84182174602807;2,824804089665264;0,9728390761811738;186;41;276;240;11751,5;525,3208485841751;13673,5;489,92413341999054;0,45226130653266333;0,6561418202121719;0,8594361355907412;122,32119403421169;23,48312929899994;88,69389343261719;196,11309814453125;14,921310424804688
74;1;0;person;blue;48;75;63,45040647139925;234,9068195729547;152,33559252070793;0,27278814493681125;2,4937707746798594;180;41;292;240;13195,0;551,0193336009979;15527,0;508,34668374061584;0,5628140703517588;0,5920226130653267;0,8498100083725124;129,61634076296272;23,010405911488277;108,14107513427734;191,3588104248047;13,382216453552246
75;1;0;person;blue;49;76;66,2785288386419;230,7588383240076;149,46356757277437;-4,147981248947104;-2,8720249479335678;174;41;281;240;12873,0;535,3624793291092;14746,5;495,43719696998596;0,5376884422110553;0,6045648804771521;0,872952904078934;128,02504700009194;22,264661250167862;95,15521240234375;193,6712188720703;14,174988746643066
76;1;0;person;blue;50;77;65,10619489657547;226,92344805285205;151,44097320690443;-3,8353902711555463;1,977405634130065;165;41;284;240;13576,0;548,8183218240738;15410,5;505,9863990545273;0,5979899497487438;0,5732866010725899;0,8809577885208137;131,47433232127315;22,18632515982562;100,85250854492188;191,1686248779297;12,167174339294434
77;1;0;person;blue;51;78;62,818209012911566;217,04978455820066;151,78689895106967;-9,873663494651396;0,3459257441652426;154;42;277;240;14445,5;560,0904010534286;16411,5;514,3424476385117;0,6212121212121212;0,593146916317648;0,8802059531426134;135,61925321823517;21,716192402629922;105,63562774658203;191,76316833496094;10,779716491699219
